2025-11-05 14:23:47,163 |     INFO | main.py:83 | 📄 Extracted Fields for sc_01.jpeg: {}
2025-11-05 14:23:47,164 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:23:47,164 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:23:47,165 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:23:47,165 |     INFO | main.py:111 | ✅ Extraction successful for sc_01.jpeg (category: screenshots)
2025-11-05 14:23:47,166 |     INFO | main.py:75 | 🔍 Processing: sc_02.jpeg (category: screenshots)
2025-11-05 14:23:47,491 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:23:47,791 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:23:47,792 |     INFO | main.py:83 | 📄 Extracted Fields for sc_02.jpeg: {}
2025-11-05 14:23:47,792 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:23:47,792 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:23:47,793 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:23:47,793 |     INFO | main.py:111 | ✅ Extraction successful for sc_02.jpeg (category: screenshots)
2025-11-05 14:23:47,794 |     INFO | main.py:75 | 🔍 Processing: sc_03.jpeg (category: screenshots)
2025-11-05 14:23:48,208 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:23:48,504 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:23:48,504 |     INFO | main.py:83 | 📄 Extracted Fields for sc_03.jpeg: {}
2025-11-05 14:23:48,505 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:23:48,505 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:23:48,505 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:23:48,506 |     INFO | main.py:111 | ✅ Extraction successful for sc_03.jpeg (category: screenshots)
2025-11-05 14:23:48,506 |     INFO | main.py:75 | 🔍 Processing: sc_05.jpeg (category: screenshots)
